[START]
(323, 126)
(322, 127)
(318, 128)
(314, 130)
(307, 130)
(303, 132)
(300, 134)
(295, 137)
(291, 140)
(288, 143)
(285, 145)
(283, 147)
(281, 150)
(278, 156)
(277, 161)
(277, 165)
(277, 170)
(277, 176)
(277, 184)
(277, 193)
(277, 203)
(279, 213)
(280, 225)
(282, 234)
(285, 246)
(287, 258)
(291, 269)
(293, 281)
(297, 293)
(299, 304)
(301, 313)
(303, 322)
(305, 330)
(305, 338)
(305, 344)
(305, 350)
(305, 355)
(305, 358)
(302, 364)
(300, 368)
(296, 373)
(290, 374)
(284, 380)
(278, 386)
(273, 389)
(269, 393)
(265, 397)
(262, 402)
(261, 407)
(260, 414)
(260, 421)
(260, 427)
(260, 432)
(260, 438)
(261, 442)
(266, 448)
(271, 451)
(279, 455)
(290, 458)
(301, 458)
(309, 458)
(322, 458)
(338, 456)
(354, 452)
(372, 447)
(397, 437)
(413, 431)
(428, 423)
(441, 414)
(454, 405)
(465, 395)
(476, 385)
(482, 377)
(486, 367)
(487, 357)
(487, 347)
(486, 336)
(481, 327)
(473, 318)
(456, 304)
(442, 296)
(428, 292)
(415, 290)
(405, 289)
(396, 289)
(390, 289)
(386, 289)
(384, 290)
(383, 293)
(383, 296)
(383, 302)
(383, 308)
(390, 315)
(399, 320)
(410, 323)
(418, 324)
(429, 325)
(442, 325)
(454, 325)
(466, 324)
(478, 319)
(489, 313)
(499, 306)
(508, 300)
(514, 291)
(516, 283)
(516, 276)
(516, 269)
(514, 263)
(508, 257)
(503, 252)
(498, 250)
(493, 250)
(490, 250)
(489, 250)
(488, 250)
(487, 250)
(487, 253)
(488, 256)
(493, 257)
(501, 257)
(508, 258)
(516, 258)
(523, 257)
(530, 254)
(537, 247)
(539, 242)
(543, 237)
(547, 230)
(548, 224)
(548, 218)
(548, 212)
(548, 206)
(543, 202)
(538, 200)
(533, 200)
(527, 198)
(524, 198)
(521, 198)
(520, 199)
(519, 201)
(519, 205)
(519, 210)
(521, 216)
(526, 220)
(532, 225)
(536, 225)
(541, 225)
(546, 225)
(550, 224)
(554, 220)
(556, 216)
(557, 211)
(557, 203)
(557, 195)
(557, 187)
(555, 179)
(551, 173)
(543, 167)
(537, 164)
(527, 161)
(518, 159)
(509, 159)
(501, 159)
(493, 162)
(488, 165)
(484, 168)
(482, 174)
(481, 180)
(480, 184)
(480, 187)
(480, 191)
(481, 195)
(484, 196)
(488, 196)
(492, 196)
(498, 196)
(503, 189)
(507, 186)
(510, 180)
(512, 174)
(513, 169)
(513, 164)
(513, 159)
(511, 152)
(508, 149)
(503, 148)
(498, 146)
(491, 146)
(486, 146)
(481, 146)
(474, 148)
(471, 151)
(468, 155)
(466, 158)
(464, 163)
(463, 164)
(463, 165)
(463, 166)
(463, 164)
(463, 159)
(461, 155)
(459, 151)
(457, 148)
(455, 144)
(453, 142)
(451, 141)
(449, 141)
(444, 141)
(441, 141)
(437, 141)
(434, 141)
(430, 145)
(429, 146)
(426, 148)
(425, 150)
(424, 149)
(423, 143)
(419, 139)
(418, 133)
(413, 129)
(408, 123)
(404, 119)
(401, 115)
(396, 112)
(391, 111)
(387, 110)
(383, 110)
(379, 110)
(374, 110)
(370, 111)
(369, 113)
(368, 117)
(368, 123)
(368, 127)
(368, 131)
(370, 137)
(374, 140)
(378, 142)
(380, 144)
(382, 144)
(384, 144)
(387, 143)
(389, 141)
(390, 137)
(390, 133)
(390, 130)
(390, 123)
(389, 121)
(384, 115)
(381, 112)
(376, 110)
(371, 108)
(366, 108)
(361, 108)
(355, 108)
(349, 109)
(346, 111)
(342, 114)
(340, 117)
(339, 120)
(339, 123)
(339, 127)
